pCONS,biorep,sample,normalized_freq,log_freq,plant,fluor,tech,ensemb_lab
PNOS,Rep1,TR2,0.22957794423763578,-2.1229440472440255,Tobacco,DSRed,Tech2,PNOS
PNOS,Rep2,TR,0.14619752354790624,-2.7740092213221432,Tobacco,DSRed,Tech1,PNOS
PNOS,Rep2,TR2,0.14342138970243484,-2.801667892908981,Tobacco,DSRed,Tech2,PNOS
PNOS,Rep3,TR,0.19514398711447944,-2.357389084551012,Tobacco,DSRed,Tech1,PNOS
PNOS,Rep3,TR2,0.19720921143359127,-2.3422011548389188,Tobacco,DSRed,Tech2,PNOS
PNOS,Rep4,TR,0.1704787006290509,-2.5523365926839565,Tobacco,DSRed,Tech1,PNOS
PNOS,Rep4,TR2,0.17970491478004708,-2.4762982289897577,Tobacco,DSRed,Tech2,PNOS
PNOS,Rep5,TR,0.2051633010669578,-2.285155405383769,Tobacco,DSRed,Tech1,PNOS
PNOS,Rep5,TR2,0.20402833068529425,-2.2931586010173746,Tobacco,DSRed,Tech2,PNOS
PNOS,Rep6,TR,0.21318304426057175,-2.229835398506812,Tobacco,DSRed,Tech1,PNOS
PNOS,Rep6,TR2,0.2109980070465063,-2.244698722673863,Tobacco,DSRed,Tech2,PNOS
pCH1,Rep1,TR,0.25817340544738115,-1.9535876992200016,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep1,TR2,0.22440668000184055,-2.1558124730311654,Tobacco,DSRed,Tech2,pCH1-5
pCH1,Rep2,TR,0.21229985440107843,-2.2358247130690088,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep2,TR2,0.21929848973053917,-2.1890322184242565,Tobacco,DSRed,Tech2,pCH1-5
pCH1,Rep3,TR,0.2163622162706609,-2.20847951419903,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep3,TR2,0.21471306405799928,-2.2195181213045645,Tobacco,DSRed,Tech2,pCH1-5
pCH1,Rep4,TR,0.2321629990566841,-2.106790033670122,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep4,TR2,0.21515644434657324,-2.216542042481192,Tobacco,DSRed,Tech2,pCH1-5
pCH1,Rep5,TR,0.2509698422982622,-1.9944140812321147,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep5,TR2,0.24623025562022358,-2.021920050565339,Tobacco,DSRed,Tech2,pCH1-5
pCH1,Rep6,TR,0.33392100067342423,-1.5824212658928622,Tobacco,DSRed,Tech1,pCH1-5
pCH1,Rep6,TR2,0.28052209859815735,-1.8338136688583622,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep1,TR,0.30193072788666986,-1.7277105055951865,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep1,TR2,0.2957821549514985,-1.7573930801095465,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep2,TR,0.2621744025289075,-1.9314012603854722,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep2,TR2,0.2465875114807846,-2.01982835914083,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep3,TR,0.3048370708868736,-1.713889736896742,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep3,TR2,0.33861383864182093,-1.562287159657489,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep4,TR,0.3284910126192076,-1.6060741953506283,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep4,TR2,0.31508365884217665,-1.6661931609656948,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep5,TR,0.33519660840576526,-1.5769205432872622,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep5,TR2,0.3381633209724499,-1.564207909181042,Tobacco,DSRed,Tech2,pCH1-5
pCH2,Rep6,TR,0.4270350292681304,-1.2275736773164703,Tobacco,DSRed,Tech1,pCH1-5
pCH2,Rep6,TR2,0.4083084357902048,-1.2922687204495187,Tobacco,DSRed,Tech2,pCH1-5
pCH3,Rep1,TR,0.30018470668175934,-1.7360776161179845,Tobacco,DSRed,Tech1,pCH1-5
pCH3,Rep1,TR2,0.32549527890619356,-1.619291476682372,Tobacco,DSRed,Tech2,pCH1-5
pCH3,Rep2,TR,0.2434839470558645,-2.0381014366098658,Tobacco,DSRed,Tech1,pCH1-5
pCH3,Rep2,TR2,0.23044635081277784,-2.1174971725414715,Tobacco,DSRed,Tech2,pCH1-5
pCH3,Rep3,TR,0.3063180134177054,-1.7068978859516233,Tobacco,DSRed,Tech1,pCH1-5
pCH3,Rep3,TR2,0.28013056735070085,-1.8358286785611284,Tobacco,DSRed,Tech2,pCH1-5
pCH3,Rep4,TR,0.27800689820293256,-1.8468074138101949,Tobacco,DSRed,Tech1,pCH1-5
