pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCH1,2,438390,220653,5.641860639011095,5.343709836494694,hi
pCH1,3,520355,206061,5.7162997319773545,5.313995803096418,hi
pCL5,1,43147,45883,4.63495060471544,4.661651805934791,hi
pCL5,3,130769,122636,5.116504802668734,5.088617976759415,hi
pCH1,2,446782,168601,5.650095667894457,5.226860146167692,hi
pCH1,3,508145,206652,5.705987656603487,5.315239612786179,hi
pCH1,1,586372,219829,5.768173224020823,5.342084984307664,hi
pCL5,1,59875,56509,4.77724552642262,4.752117621962125,hi
pCL5,3,127628,108526,5.105945963660161,5.035533796284348,hi
pCH1,2,268700,118054,5.4292676664331685,5.072080706776855,hi
pCH1,3,393035,156475,5.594431226278857,5.194444960225334,hi
pCH1,1,400962,150923,5.603103215582006,5.17875542938409,hi
pCL5,1,39648,42209,4.59822128469597,4.625405063132223,hi
pCL5,2,52996,43586,4.724243091421831,4.639347014518078,hi
pCH1,2,375847,169318,5.575011088069821,5.228703129905364,hi
pCH1,1,453477,173370,5.65655526487706,5.238973949186046,hi
pCL5,1,63255,79398,4.8010948600705445,4.899809562881713,hi
pCL5,2,69595,61966,4.842578039173615,4.79215346268195,hi
pCH1,2,504085,261553,5.702503774378933,5.417559705728294,hi
35s,2,373270,47656,5.572023086743846,4.678117587090788,hi
35s,3,666337,111836,5.823693929206437,5.048581625417041,hi
35s,1,465549,73578,5.667965398120088,4.86674797864639,hi
35s,2,314187,47781,5.49718821143258,4.679255234780482,hi
35s,3,532832,90409,5.726590299131647,4.956211665605698,hi
35s,1,275655,34790,5.440365874387266,4.541454428747589,hi
35s,2,201134,24963,5.303485490608078,4.397296776729685,hi
35s,1,550917,146173,5.741086173884086,5.1648671603515925,hi
35s,2,224385,19725,5.350993821234008,4.295017011881458,hi
35s,3,579763,131996,5.763250495585085,5.120560770567599,hi
35s,1,550492,83811,5.740751011988787,4.923301022517943,hi
35s,2,584218,116397,5.766574933637609,5.065941787012876,hi
35s,3,696720,106577,5.84305827754328,5.027663491268163,hi
35s,2,247134,37879,5.392932498524722,4.578398505172458,hi
35s,3,453676,62524,5.65674580517905,4.796046754413657,hi
35s,1,441773,58064,5.645199169413791,4.763906950856481,hi
35s,1,462863,104911,5.665452465859361,5.020821026695403,hi
35s,3,470308,74634,5.672382366214303,4.872936718203202,hi
no prom.,1,695,44,2.8419848045901137,1.6434526764861874,hi
pCH4,1,690421,168185,5.839113992506426,5.225787259549158,hi
pCH4,2,780447,155997,5.892343415548233,5.193116246457195,hi
pCH4,3,681611,196961,5.833536590562565,5.2943802405698746,hi
no prom.,2,740,44,2.869231719730976,1.6434526764861874,hi
no prom.,3,702,34,2.846337112129805,1.5314789170422551,hi
no prom.,1,554,32,2.74350976472843,1.505149978319906,hi
pCH4,1,479535,135477,5.680820310676939,5.13186557107068,hi
pCH4,2,364751,127717,5.561996491227276,5.106248708655792,hi
pCH4,3,662724,156121,5.8213326984903455,5.193461324399443,hi
no prom.,2,622,35,2.7937903846908188,1.5440680443502757,hi
no prom.,3,645,39,2.8095597146352675,1.591064607026499,hi
no prom.,1,633,33,2.801403710017355,1.5185139398778875,hi
pCH4,3,791873,206635,5.898655535349776,5.315203884557628,hi
no prom.,2,618,32,2.790988475088816,1.505149978319906,hi
no prom.,3,691,42,2.8394780473741985,1.6232492903979006,hi
no prom.,1,586,37,2.767897616018091,1.568201724066995,hi
pCH4,1,434364,125453,5.637853823833951,5.098481051205571,hi
pCH4,2,479032,102841,5.680364525855538,5.01216629096159,hi
pCH4,3,538634,155778,5.73129376375492,5.192506123726511,hi
no prom.,1,715,45,2.8543060418010806,1.6532125137753435,hi
pCH4,3,568763,159170,5.754931336282737,5.201861216277263,hi
no prom.,2,671,42,2.826722520168992,1.6232492903979006,hi
no prom.,3,685,35,2.835690571492425,1.5440680443502757,hi
no prom.,1,623,36,2.7944880466591697,1.5563025007672873,hi
pCH4,1,334965,127610,5.524999430616046,5.105884708669233,hi
pCH4,2,370523,126741,5.568815171729797,5.102917129432495,hi
no prom.,3,672,39,2.8273692730538253,1.591064607026499,hi
