pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCH5,1,1215849,4446,6.08487964192784,3.647969458362972,low
pCM4,2,370340,4688,5.568600622233319,3.670987603010034,low
pCM4,3,191863,2227,5.28299123088377,3.347720217034038,low
pCH5,2,1149353,4231,6.060453433742528,3.6264430253312954,low
pCH5,3,1059747,3739,6.025202195813233,3.5727554651542195,low
pCL2,1,46969,4705,4.671811313874859,3.672559627763276,low
pCL2,2,39405,4010,4.595551331841752,3.603144372620182,low
pCL2,3,18084,2730,4.257294498362256,3.436162647040756,low
pCM3,2,771180,3849,5.887155757925028,3.585347911094591,low
pCM3,3,478452,2910,5.679838374336947,3.463892988985908,low
pCH5,1,1269673,4272,6.103691884277481,3.6306312440205,low
pCM4,1,375754,4275,5.574903612462355,3.630936119064192,low
pCM4,2,370650,5263,5.568964004457761,3.7212333700172775,low
pCM4,3,258892,3147,5.413118630544818,3.49789674291322,low
pCH5,2,1044860,3803,6.0190581035565085,3.5801263254115825,low
pCL2,1,44688,4724,4.650190918356929,3.674309888941477,low
pCM3,1,602397,4235,5.779882800366134,3.6268534146667255,low
pCM4,1,291694,3649,5.464927495992864,3.5621738633646483,low
